Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price
01.07.2017 00:00;0;0;0;0;0;0;0
01.07.2017 00:01;18160.16;18160.16;18160.16;18160.16;0.11;1997.62;18160.16
01.07.2017 00:02;0;0;0;0;0;0;0
01.07.2017 00:03;0;0;0;0;0;0;0
01.07.2017 00:04;18050;18050;18050;18050;0.3;5324.75;18050
01.07.2017 00:05;18158;18160;18158;18160;0.2;3595.54;18159.28
01.07.2017 00:06;0;0;0;0;0;0;0
01.07.2017 00:07;0;0;0;0;0;0;0
01.07.2017 00:08;0;0;0;0;0;0;0
01.07.2017 00:09;0;0;0;0;0;0;0
01.07.2017 00:10;18060.01;18060.01;18060.01;18060.01;0.58;10456.75;18060.01
01.07.2017 00:11;18060.01;18060.01;18060.01;18060.01;0.56;10113.61;18060.01
01.07.2017 00:12;0;0;0;0;0;0;0
01.07.2017 00:13;0;0;0;0;0;0;0
01.07.2017 00:14;18150;18150;18150;18150;0.1;1815;18150
01.07.2017 00:15;0;0;0;0;0;0;0
01.07.2017 00:16;0;0;0;0;0;0;0
01.07.2017 00:17;0;0;0;0;0;0;0
01.07.2017 00:18;0;0;0;0;0;0;0
01.07.2017 00:19;0;0;0;0;0;0;0
01.07.2017 00:20;0;0;0;0;0;0;0
01.07.2017 00:21;0;0;0;0;0;0;0
01.07.2017 00:22;0;0;0;0;0;0;0
01.07.2017 00:23;0;0;0;0;0;0;0
01.07.2017 00:24;18150;18150;18150;18150;0.1;1815;18150
01.07.2017 00:25;0;0;0;0;0;0;0
01.07.2017 00:26;0;0;0;0;0;0;0
01.07.2017 00:27;0;0;0;0;0;0;0
01.07.2017 00:28;0;0;0;0;0;0;0
01.07.2017 00:29;18130;18130;18130;18130;0.1;1813;18130
01.07.2017 00:30;0;0;0;0;0;0;0
01.07.2017 00:31;0;0;0;0;0;0;0
01.07.2017 00:32;0;0;0;0;0;0;0
01.07.2017 00:33;18064;18064;18064;18064;0.01;180.64;18064
01.07.2017 00:34;18064;18064;18064;18064;0.39;6972.7;18064
01.07.2017 00:35;0;0;0;0;0;0;0
01.07.2017 00:36;18130;18130;18130;18130;0.05;833.98;18130
01.07.2017 00:37;18130;18140;18130;18140;0.1;1813.46;18134.6
01.07.2017 00:38;0;0;0;0;0;0;0
01.07.2017 00:39;18140;18140;18140;18140;0.13;2340.06;18140
01.07.2017 00:40;18140;18140;18140;18140;0.08;1451.2;18140
01.07.2017 00:41;0;0;0;0;0;0;0
01.07.2017 00:42;0;0;0;0;0;0;0
01.07.2017 00:43;0;0;0;0;0;0;0
01.07.2017 00:44;0;0;0;0;0;0;0
01.07.2017 00:45;18140;18160;18064;18064;2.65;48135.37;18143.75
01.07.2017 00:46;0;0;0;0;0;0;0
01.07.2017 00:47;0;0;0;0;0;0;0
01.07.2017 00:48;0;0;0;0;0;0;0
01.07.2017 00:49;18160;18160;18160;18160;0.1;1816;18160
01.07.2017 00:50;0;0;0;0;0;0;0
01.07.2017 00:51;0;0;0;0;0;0;0
01.07.2017 00:52;0;0;0;0;0;0;0
01.07.2017 00:53;0;0;0;0;0;0;0
01.07.2017 00:54;18160;18194;18160;18194;2.22;40326.32;18189.59
01.07.2017 00:55;0;0;0;0;0;0;0
01.07.2017 00:56;18064;18064;18064;18064;0.1;1806.4;18064
01.07.2017 00:57;0;0;0;0;0;0;0
01.07.2017 00:58;0;0;0;0;0;0;0
01.07.2017 00:59;0;0;0;0;0;0;0
01.07.2017 01:00;18064;18064;18064;18064;0.13;2348.32;18064
01.07.2017 01:01;0;0;0;0;0;0;0
01.07.2017 01:02;18180;18180;18180;18180;0.95;17343.72;18180
01.07.2017 01:03;18180;18180;18180;18180;1.08;19561.68;18180
01.07.2017 01:04;0;0;0;0;0;0;0
01.07.2017 01:05;0;0;0;0;0;0;0
01.07.2017 01:06;0;0;0;0;0;0;0
01.07.2017 01:07;18177;18177;18176;18176;2.4;43551.78;18176.87
01.07.2017 01:08;18176.99;18194;18176;18194;2.02;36774.27;18178.09
01.07.2017 01:09;0;0;0;0;0;0;0
01.07.2017 01:10;18066;18080;18064;18080;18.3;330620.91;18067.7
01.07.2017 01:11;18080;18080;18080;18080;0.11;1952.64;18080
01.07.2017 01:12;0;0;0;0;0;0;0
01.07.2017 01:13;0;0;0;0;0;0;0
01.07.2017 01:14;0;0;0;0;0;0;0
01.07.2017 01:15;0;0;0;0;0;0;0
01.07.2017 01:16;0;0;0;0;0;0;0
01.07.2017 01:17;18175.75;18176;18175.75;18176;0.62;11287.2;18175.84
01.07.2017 01:18;18090;18170;18090;18170;2.97;53782.65;18114.74
01.07.2017 01:19;0;0;0;0;0;0;0
01.07.2017 01:20;0;0;0;0;0;0;0
01.07.2017 01:21;0;0;0;0;0;0;0
01.07.2017 01:22;0;0;0;0;0;0;0
01.07.2017 01:23;18150;18150;18150;18150;0.3;5408.7;18150
01.07.2017 01:24;0;0;0;0;0;0;0
01.07.2017 01:25;0;0;0;0;0;0;0
01.07.2017 01:26;0;0;0;0;0;0;0
01.07.2017 01:27;18102;18102;18102;18102;1.6;29035.61;18102
01.07.2017 01:28;0;0;0;0;0;0;0
01.07.2017 01:29;18105;18105;18105;18105;1.09;19698.24;18105
01.07.2017 01:30;18107;18107;18107;18107;0.02;362.14;18107
01.07.2017 01:31;0;0;0;0;0;0;0
01.07.2017 01:32;0;0;0;0;0;0;0
01.07.2017 01:33;0;0;0;0;0;0;0
01.07.2017 01:34;0;0;0;0;0;0;0
01.07.2017 01:35;0;0;0;0;0;0;0
01.07.2017 01:36;0;0;0;0;0;0;0
01.07.2017 01:37;18152;18168.82;18152;18168.82;2;36308.02;18154.01
01.07.2017 01:38;18137;18137;18137;18137;0.62;11172.39;18137
01.07.2017 01:39;18137;18152;18120;18120;3.71;67193.69;18135.95
01.07.2017 01:40;18120;18129.36;18100;18129.36;9.67;175158.29;18111.7
01.07.2017 01:41;0;0;0;0;0;0;0
01.07.2017 01:42;18064;18064;18064;18064;0.07;1228.35;18064
01.07.2017 01:43;18064;18080;18064;18080;0.38;6813.71;18073.51
01.07.2017 01:44;0;0;0;0;0;0;0
01.07.2017 01:45;18051.65;18080;18051.65;18080;0.97;17553.08;18058.72
01.07.2017 01:46;18051.65;18080;18051.65;18080;1.7;30628.53;18059.27
01.07.2017 01:47;0;0;0;0;0;0;0
01.07.2017 01:48;18000;18000;17920;17920;0.2;3592;17960
01.07.2017 01:49;18060;18080;18060;18080;1;18062.4;18062.4
01.07.2017 01:50;0;0;0;0;0;0;0
01.07.2017 01:51;0;0;0;0;0;0;0
01.07.2017 01:52;0;0;0;0;0;0;0
01.07.2017 01:53;0;0;0;0;0;0;0
01.07.2017 01:54;0;0;0;0;0;0;0
01.07.2017 01:55;0;0;0;0;0;0;0
01.07.2017 01:56;0;0;0;0;0;0;0
01.07.2017 01:57;0;0;0;0;0;0;0
01.07.2017 01:58;0;0;0;0;0;0;0
01.07.2017 01:59;17920.03;17920.03;17902;17902;1.78;31946.93;17917.51
01.07.2017 02:00;17920;17920;17920;17920;0.02;304.64;17920
01.07.2017 02:01;0;0;0;0;0;0;0
01.07.2017 02:02;0;0;0;0;0;0;0
01.07.2017 02:03;18070;18070;18070;18070;0.21;3758.56;18070
01.07.2017 02:04;0;0;0;0;0;0;0
01.07.2017 02:05;0;0;0;0;0;0;0
01.07.2017 02:06;0;0;0;0;0;0;0
