 ;Total;
 ;Price;Volume
Time;USD;BTC
04.05.2012 00:00;4.964929423;4816.70560669
05.05.2012 00:00;29.89;6183.411298
06.05.2012 00:00;30.0;4526.24649456
07.05.2012 00:00;4.97;4890.42395359
08.05.2012 00:00;4.92;5087.51336032
09.05.2012 00:00;4.92;8453.12933966
10.05.2012 00:00;30.468937121;9049.55101234
11.05.2012 00:00;4.95;7848.32759077
12.05.2012 00:00;4.833700627;5299.54232016
13.05.2012 00:00;4.84;2614.47372566
14.05.2012 00:00;4.9;5809.12881946
15.05.2012 00:00;4.89;11347.6041998
16.05.2012 00:00;4.9849896907;7022.6393022
17.05.2012 00:00;4.998;3541.80831368
18.05.2012 00:00;4.989;5091.52926285
19.05.2012 00:00;5.0075012295;4181.63567152
20.05.2012 00:00;31.494774;3685.37174413
21.05.2012 00:00;4.98;11437.2599172
22.05.2012 00:00;4.98;4041.76446364
23.05.2012 00:00;31.68;8008.03090765
24.05.2012 00:00;5.0326094357;3877.15848616
25.05.2012 00:00;31.73;6587.54936212
26.05.2012 00:00;33.599887797;14333.8668365
27.05.2012 00:00;33.73;16770.4340345
28.05.2012 00:00;33.62;10146.0868252
29.05.2012 00:00;33.05;7474.09989137
30.05.2012 00:00;33.18;6000.52849395
31.05.2012 00:00;5.17;5780.16443033
01.06.2012 00:00;5.15;6562.15912595
02.06.2012 00:00;5.087;5643.44883163
03.06.2012 00:00;5.1;3678.97176813
04.06.2012 00:00;33.03;3493.7265413
05.06.2012 00:00;5.37;8003.89105439
06.06.2012 00:00;5.326;5024.84110153
07.06.2012 00:00;34.62;7153.05375077
08.06.2012 00:00;5.61;7996.00018285
09.06.2012 00:00;35.39;7684.01672113
10.06.2012 00:00;34.5;7821.48746944
11.06.2012 00:00;5.597;7352.23204608
12.06.2012 00:00;5.517;15141.1630334
13.06.2012 00:00;36.04;7724.04331694
14.06.2012 00:00;5.9;9648.78319488
15.06.2012 00:00;6.498;8025.60989094
16.06.2012 00:00;6.26;12891.9642299
17.06.2012 00:00;39.004046188;5527.00816764
18.06.2012 00:00;6.2223315884;4879.61355033
19.06.2012 00:00;39.31;4905.17486454
20.06.2012 00:00;6.599;7781.20226327
21.06.2012 00:00;6.55;3538.31486924
22.06.2012 00:00;6.458;4239.53296256
23.06.2012 00:00;6.25;5355.4194226
24.06.2012 00:00;6.2;7411.37329036
25.06.2012 00:00;6.194;9228.46597285
26.06.2012 00:00;6.41;9001.77460901
27.06.2012 00:00;6.551;16854.3550748
28.06.2012 00:00;6.4655348384;6481.38108508
29.06.2012 00:00;6.6;12832.52412
30.06.2012 00:00;6.61;7384.33313312
