Timestamp;Open;High;Low;Close;Volume (BTC);Volume (Currency);Weighted Price;
01.01.2015 00:00;321;321;321;321;1.74;557.57;321;
01.01.2015 00:01;0;0;0;0;0;0;0;
01.01.2015 00:02;321;321;321;321;1.41;453.68;321;
01.01.2015 00:03;321;321;321;321;2;642;321;
01.01.2015 00:04;320.98;320.98;320.43;320.43;2.84;912.71;320.94;
01.01.2015 00:05;320.5;320.51;320.49;320.5;8.26;2645.67;320.49;
01.01.2015 00:06;321;321;320.52;320.52;1.45;464.56;320.98;
01.01.2015 00:07;320.54;320.54;320.54;320.54;0.31;100.01;320.54;
01.01.2015 00:08;0;0;0;0;0;0;0;
01.01.2015 00:09;320.34;320.34;319.94;319.94;0.73;234.55;320.28;
01.01.2015 00:10;0;0;0;0;0;0;0;
01.01.2015 00:11;0;0;0;0;0;0;0;
01.01.2015 00:12;319.67;319.67;319.67;319.67;0.02;5.27;319.67;
01.01.2015 00:13;0;0;0;0;0;0;0;
01.01.2015 00:14;319.7;319.7;319.7;319.7;0.02;5.28;319.7;
01.01.2015 00:15;0;0;0;0;0;0;0;
01.01.2015 00:16;0;0;0;0;0;0;0;
01.01.2015 00:17;319.54;319.54;319.54;319.54;0.02;5.27;319.54;
01.01.2015 00:18;0;0;0;0;0;0;0;
01.01.2015 00:19;319.57;319.57;319.57;319.57;0.06;20.39;319.57;
01.01.2015 00:20;0;0;0;0;0;0;0;
01.01.2015 00:21;319.6;320;319.6;320;0.46;146.7;319.62;
01.01.2015 00:22;320.08;320.08;320.08;320.08;0.25;80.15;320.08;
01.01.2015 00:23;0;0;0;0;0;0;0;
01.01.2015 00:24;0;0;0;0;0;0;0;
01.01.2015 00:25;0;0;0;0;0;0;0;
01.01.2015 00:26;0;0;0;0;0;0;0;
01.01.2015 00:27;0;0;0;0;0;0;0;
01.01.2015 00:28;0;0;0;0;0;0;0;
01.01.2015 00:29;320;320;320;320;1;320;320;
01.01.2015 00:30;320.06;320.06;320.06;320.06;0.12;39.98;320.06;
01.01.2015 00:31;0;0;0;0;0;0;0;
01.01.2015 00:32;320.06;320.08;320.06;320.08;0.56;179.59;320.06;
01.01.2015 00:33;320.93;321;320.93;321;7.4;2375.71;320.95;
01.01.2015 00:34;320.33;320.33;320.33;320.33;1.92;615.03;320.33;
01.01.2015 00:35;320.18;320.18;320.12;320.12;1.29;413.01;320.17;
01.01.2015 00:36;320.2;320.2;320.02;320.02;7.68;2458.87;320.17;
01.01.2015 00:37;320.02;320.02;320.02;320.02;0.09;28.52;320.02;
01.01.2015 00:38;319.96;319.96;319.9;319.9;1.92;614.27;319.93;
01.01.2015 00:39;320.02;320.02;319.85;319.85;4.54;1453.88;319.92;
01.01.2015 00:40;319.84;319.84;319.83;319.83;1.92;614.08;319.84;
01.01.2015 00:41;319.93;319.93;319.77;319.77;3.84;1228.11;319.82;
