Date;EUR
13.06.2012 00:00;0.796431985
14.06.2012 00:00;0.791702953
15.06.2012 00:00;0.791264441
16.06.2012 00:00;0.791264441
17.06.2012 00:00;0.791264441
18.06.2012 00:00;0.795165394
19.06.2012 00:00;0.78814628
20.06.2012 00:00;0.787153652
21.06.2012 00:00;0.797193878
22.06.2012 00:00;0.795544948
23.06.2012 00:00;0.795544948
24.06.2012 00:00;0.795544948
25.06.2012 00:00;0.799680128
26.06.2012 00:00;0.800640512
27.06.2012 00:00;0.801924619
28.06.2012 00:00;0.803858521
29.06.2012 00:00;0.789889415
30.06.2012 00:00;0.789889415
01.07.2012 00:00;0.789889415
02.07.2012 00:00;0.794533609
03.07.2012 00:00;0.793210121
04.07.2012 00:00;0.798530704
05.07.2012 00:00;0.806907125
06.07.2012 00:00;0.813802083
07.07.2012 00:00;0.813802083
08.07.2012 00:00;0.813802083
09.07.2012 00:00;0.811754201
10.07.2012 00:00;0.816193275
11.07.2012 00:00;0.817060217
12.07.2012 00:00;0.819806526
13.07.2012 00:00;0.816193275
14.07.2012 00:00;0.816193275
15.07.2012 00:00;0.816193275
16.07.2012 00:00;0.814796708
17.07.2012 00:00;0.813404913
18.07.2012 00:00;0.814067079
19.07.2012 00:00;0.814332248
20.07.2012 00:00;0.822571358
21.07.2012 00:00;0.822571358
22.07.2012 00:00;0.822571358
23.07.2012 00:00;0.825423029
24.07.2012 00:00;0.829187396
25.07.2012 00:00;0.822436056
26.07.2012 00:00;0.814133355
27.07.2012 00:00;0.811754201
28.07.2012 00:00;0.811754201
29.07.2012 00:00;0.811754201
30.07.2012 00:00;0.815660685
31.07.2012 00:00;0.812743823
01.08.2012 00:00;0.817929004
02.08.2012 00:00;0.821018062
03.08.2012 00:00;0.807297974
04.08.2012 00:00;0.807297974
05.08.2012 00:00;0.807297974
06.08.2012 00:00;0.806386582
07.08.2012 00:00;0.806386582
08.08.2012 00:00;0.808734331
09.08.2012 00:00;0.812611734
10.08.2012 00:00;0.81366965
11.08.2012 00:00;0.81366965
12.08.2012 00:00;0.81366965
13.08.2012 00:00;0.810898476
14.08.2012 00:00;0.811556565
15.08.2012 00:00;0.813735861
16.08.2012 00:00;0.809388911
17.08.2012 00:00;0.810766986
18.08.2012 00:00;0.810766986
19.08.2012 00:00;0.810766986
20.08.2012 00:00;0.810110175
21.08.2012 00:00;0.801796023
22.08.2012 00:00;0.798212005
23.08.2012 00:00;0.795924865
24.08.2012 00:00;0.799168864
25.08.2012 00:00;0.799168864
26.08.2012 00:00;0.799168864
27.08.2012 00:00;0.8
28.08.2012 00:00;0.79586152
29.08.2012 00:00;0.798148296
30.08.2012 00:00;0.799616184
31.08.2012 00:00;0.795102171
01.09.2012 00:00;0.795102171
02.09.2012 00:00;0.795102171
03.09.2012 00:00;0.794028903
04.09.2012 00:00;0.795734861
05.09.2012 00:00;0.79358781
06.09.2012 00:00;0.791702953
07.09.2012 00:00;0.780274657
08.09.2012 00:00;0.780274657
09.09.2012 00:00;0.780274657
10.09.2012 00:00;0.783760483
11.09.2012 00:00;0.777907429
12.09.2012 00:00;0.775193798
13.09.2012 00:00;0.769882208
14.09.2012 00:00;0.76178868
15.09.2012 00:00;0.76178868
16.09.2012 00:00;0.76178868
17.09.2012 00:00;0.762369444
18.09.2012 00:00;0.766400981
19.09.2012 00:00;0.766400981
20.09.2012 00:00;0.771069473
21.09.2012 00:00;0.770416025
22.09.2012 00:00;0.770416025
23.09.2012 00:00;0.770416025
24.09.2012 00:00;0.773335396
25.09.2012 00:00;0.775193798
26.09.2012 00:00;0.77688005
27.09.2012 00:00;0.774353415
28.09.2012 00:00;0.777725929
29.09.2012 00:00;0.777725929
30.09.2012 00:00;0.777725929
01.10.2012 00:00;0.775855381
02.10.2012 00:00;0.773993808
03.10.2012 00:00;0.774833411
04.10.2012 00:00;0.768167153
05.10.2012 00:00;0.767224183
06.10.2012 00:00;0.767224183
07.10.2012 00:00;0.767224183
08.10.2012 00:00;0.771010023
09.10.2012 00:00;0.776096236
10.10.2012 00:00;0.776699029
11.10.2012 00:00;0.773574689
12.10.2012 00:00;0.772200772
13.10.2012 00:00;0.772200772
14.10.2012 00:00;0.772200772
15.10.2012 00:00;0.772200772
16.10.2012 00:00;0.766048721
17.10.2012 00:00;0.762253221
18.10.2012 00:00;0.765345171
19.10.2012 00:00;0.767931193
20.10.2012 00:00;0.767931193
21.10.2012 00:00;0.767931193
22.10.2012 00:00;0.765696784
23.10.2012 00:00;0.770060065
24.10.2012 00:00;0.770772314
25.10.2012 00:00;0.773156023
26.10.2012 00:00;0.772678102
27.10.2012 00:00;0.772678102
28.10.2012 00:00;0.772678102
29.10.2012 00:00;0.774953503
30.10.2012 00:00;0.77166448
31.10.2012 00:00;0.771604938
01.11.2012 00:00;0.772678102
02.11.2012 00:00;0.778998208
03.11.2012 00:00;0.778998208
04.11.2012 00:00;0.778998208
05.11.2012 00:00;0.781433148
06.11.2012 00:00;0.780396441
07.11.2012 00:00;0.783024039
08.11.2012 00:00;0.784498313
09.11.2012 00:00;0.786843969
10.11.2012 00:00;0.786843969
11.11.2012 00:00;0.786843969
12.11.2012 00:00;0.786782061
13.11.2012 00:00;0.787153652
14.11.2012 00:00;0.785175879
15.11.2012 00:00;0.782472613
16.11.2012 00:00;0.784682988
17.11.2012 00:00;0.784682988
18.11.2012 00:00;0.784682988
19.11.2012 00:00;0.780457348
20.11.2012 00:00;0.78015291
21.11.2012 00:00;0.779483982
22.11.2012 00:00;0.77621672
23.11.2012 00:00;0.770653514
24.11.2012 00:00;0.770653514
25.11.2012 00:00;0.770653514
26.11.2012 00:00;0.770831727
27.11.2012 00:00;0.772499034
28.11.2012 00:00;0.772021925
29.11.2012 00:00;0.770534751
30.11.2012 00:00;0.770060065
01.12.2012 00:00;0.770060065
02.12.2012 00:00;0.770060065
03.12.2012 00:00;0.766048721
04.12.2012 00:00;0.763708569
05.12.2012 00:00;0.765228038
06.12.2012 00:00;0.771128933
07.12.2012 00:00;0.773574689
08.12.2012 00:00;0.773574689
09.12.2012 00:00;0.773574689
10.12.2012 00:00;0.77273781
11.12.2012 00:00;0.768875903
12.12.2012 00:00;0.764876855
13.12.2012 00:00;0.764642912
14.12.2012 00:00;0.759705234
15.12.2012 00:00;0.759705234
16.12.2012 00:00;0.759705234
17.12.2012 00:00;0.759589821
18.12.2012 00:00;0.755857899
19.12.2012 00:00;0.75597218
20.12.2012 00:00;0.755058895
21.12.2012 00:00;0.758265089
22.12.2012 00:00;0.758265089
23.12.2012 00:00;0.758265089
24.12.2012 00:00;0.7583801
25.12.2012 00:00;0.758552681
26.12.2012 00:00;0.756200847
27.12.2012 00:00;0.755515261
28.12.2012 00:00;0.756658596
29.12.2012 00:00;0.756658596
30.12.2012 00:00;0.756658596
31.12.2012 00:00;0.757805396
01.01.2013 00:00;0.757288906
